price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,calculated_host_listings_count,room_type,neighbourhood_group
100,3,0,0.0,0,1,Entire home/apt,Manhattan
60,2,5,0.48,2,1,Private room,Brooklyn
60,1,1,0.04,0,1,Private room,Brooklyn
60,2,89,3.36,30,4,Private room,Bronx
160,5,1,0.16,305,1,Entire home/apt,Brooklyn
85,2,113,0.91,333,1,Private room,Manhattan
200,1,9,0.14,0,1,Entire home/apt,Manhattan
150,5,12,0.34,0,1,Entire home/apt,Brooklyn
219,4,21,0.33,31,2,Entire home/apt,Brooklyn
89,5,4,0.09,0,1,Entire home/apt,Queens
45,1,14,0.99,0,1,Private room,Manhattan
65,1,0,0.0,89,1,Private room,Bronx
275,5,1,0.03,0,1,Entire home/apt,Brooklyn
500,2,0,0.0,55,1,Entire home/apt,Manhattan
150,1,14,2.8,2,1,Entire home/apt,Queens
95,3,17,4.51,329,1,Entire home/apt,Queens
90,2,8,0.22,0,1,Private room,Manhattan
90,2,187,4.31,86,1,Private room,Manhattan
75,5,0,0.0,188,1,Private room,Bronx
150,2,4,1.64,89,1,Entire home/apt,Brooklyn
120,3,214,3.47,197,1,Entire home/apt,Manhattan
450,1,0,0.0,215,1,Entire home/apt,Manhattan
300,4,7,0.12,0,1,Entire home/apt,Manhattan
180,1,1,0.02,0,1,Entire home/apt,Manhattan
67,1,15,1.65,0,3,Private room,Brooklyn
210,5,3,3.0,136,1,Entire home/apt,Manhattan
70,1,9,0.24,0,3,Private room,Brooklyn
260,30,6,1.58,257,25,Entire home/apt,Manhattan
80,2,42,3.16,307,4,Entire home/apt,Queens
89,1,8,5.58,305,1,Entire home/apt,Brooklyn
97,2,252,6.08,290,1,Entire home/apt,Queens
75,5,85,1.9,332,1,Entire home/apt,Queens
54,1,65,2.75,57,12,Private room,Brooklyn
59,2,42,2.23,14,2,Private room,Brooklyn
108,2,19,1.67,0,1,Entire home/apt,Brooklyn
419,3,6,1.57,326,8,Entire home/apt,Manhattan
89,1,24,3.09,72,2,Private room,Brooklyn
69,5,5,0.1,4,1,Entire home/apt,Queens
170,30,1,0.51,345,96,Entire home/apt,Manhattan
85,4,0,0.0,89,1,Private room,Brooklyn
200,3,27,2.67,336,1,Entire home/apt,Brooklyn
99,1,136,4.62,61,4,Private room,Manhattan
50,2,51,3.29,176,6,Private room,Brooklyn
70,1,0,0.0,179,1,Private room,Queens
80,2,7,0.21,189,8,Private room,Brooklyn
99,2,110,2.81,271,3,Entire home/apt,Brooklyn
275,2,10,5.17,298,1,Entire home/apt,Brooklyn
120,1,19,4.45,65,1,Entire home/apt,Manhattan
55,2,3,0.16,65,1,Private room,Brooklyn
60,20,4,0.32,66,1,Private room,Brooklyn
63,2,2,1.15,365,1,Private room,Queens
198,7,9,0.38,0,1,Entire home/apt,Manhattan
85,2,99,2.5,29,1,Entire home/apt,Brooklyn
250,1,103,5.5,69,4,Entire home/apt,Brooklyn
50,3,4,4.0,0,1,Private room,Queens
36,2,83,2.95,155,4,Private room,Brooklyn
170,1,3,0.58,41,2,Entire home/apt,Queens
51,1,0,0.0,0,1,Private room,Brooklyn
179,1,15,2.54,0,1,Entire home/apt,Brooklyn
95,1,8,2.38,23,5,Shared room,Manhattan
75,1,2,1.82,362,7,Shared room,Manhattan
135,3,2,0.86,36,3,Entire home/apt,Staten Island
35,1,9,0.24,0,1,Private room,Brooklyn
150,7,1,0.39,88,1,Entire home/apt,Brooklyn
70,2,62,1.94,40,1,Entire home/apt,Brooklyn
169,2,65,2.33,263,1,Entire home/apt,Queens
400,3,25,2.62,30,1,Entire home/apt,Brooklyn
110,4,4,0.65,0,2,Entire home/apt,Brooklyn
250,28,4,0.09,0,1,Entire home/apt,Brooklyn
80,3,4,0.11,0,1,Private room,Brooklyn
58,1,194,3.81,307,3,Private room,Manhattan
69,3,4,1.14,0,1,Private room,Brooklyn
169,3,2,0.03,0,1,Entire home/apt,Manhattan
399,1,0,0.0,12,1,Entire home/apt,Manhattan
57,1,20,6.32,156,4,Private room,Queens
125,2,0,0.0,364,1,Private room,Bronx
48,1,0,0.0,365,10,Private room,Brooklyn
