price,predicted_revenue
20,5307.925
25,5983.81
30,7176.63
35,8664.73
40,9780.285
45,10941.875
50,12254.39
55,13382.075
60,14722.395
65,15953.105
70,17164.38
75,18363.055
80,19678.99
85,20824.2
90,22144.29
95,23438.195
100,24569.33
105,25849.245
110,26702.105
115,28244.85
120,29301.785
125,30654.78
130,31842.58
135,33246.575
140,34277.02
145,35900.365
150,36722.66
155,38314.53
160,39092.125
165,39748.98
170,41720.165
175,42771.99
180,43795.715
185,45080.525
190,46518.155
195,47752.985
200,49060.74
205,49574.485
210,51101.435
215,52583.62
220,54300.17
225,55316.01
230,56494.445
235,57484.365
240,59459.77
245,60270.32
250,61158.31
255,62378.22
260,62961.81
265,64796.725
270,65536.085
275,67460.365
280,68934.7
285,70075.265
290,70875.455
295,72407.85
300,73745.085
305,74379.06
310,75828.535
315,77243.965
320,77662.07
325,79041.075
330,80244.74
335,81865.91
340,84776.855
345,85260.45
350,87170.225
355,87197.95
360,88391.68
365,89156.035
370,89328.885
375,91859.16
380,93625.815
385,95381.225
390,96160.375
395,96421.405
