id,name,listing_key
2539,Clean & quiet apt home by the park,1
2595,Skylit Midtown Castle,2
3647,THE VILLAGE OF HARLEM....NEW YORK !,3
3831,Cozy Entire Floor of Brownstone,4
5022,Entire Apt: Spacious Studio/Loft by central park,5
5099,Large Cozy 1 BR Apartment In Midtown East,6
5121,BlissArtsSpace!,7
5178,Large Furnished Room Near B'way ,8
5203,Cozy Clean Guest Room - Family Apt,9
5238,Cute & Cozy Lower East Side 1 bdrm,10
5295,Beautiful 1br on Upper West Side,11
5441,Central Manhattan/near Broadway,12
5803,"Lovely Room 1, Garden, Best Area, Legal rental",13
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,14
6090,West Village Nest - Superhost,15
6848,Only 2 stops to Manhattan studio,16
7097,Perfect for Your Parents + Garden,17
7322,Chelsea Perfect,18
7726,Hip Historic Brownstone Apartment with Backyard,19
7750,Huge 2 BR Upper East  Cental Park,20
7801,Sweet and Spacious Brooklyn Loft,21
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22
8025,CBG Helps Haiti Room#2.5,23
8110,CBG Helps Haiti Rm #2,24
8490,"MAISON DES SIRENES1,bohemian apartment",25
8505,Sunny Bedroom Across Prospect Park,26
8700,Magnifique Suite au N de Manhattan - vue Cloitres,27
9357,Midtown Pied-a-terre,28
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",29
9657,Modern 1 BR / NYC / EAST VILLAGE,30
9668,front room/double bed,31
9704,Spacious 1 bedroom in luxe building,32
9782,Loft in Williamsburg Area w/ Roof,33
9783,back room/bunk beds,34
10452,Large B&B Style rooms,35
10962,"Lovely room 2 & garden; Best area, Legal rental",36
11452,Clean and Quiet in Brooklyn,37
11708,Cute apt in artist's home,38
11943,Country space in the city,39
12048,LowerEastSide apt share shortterm 1,40
12192,ENJOY Downtown NYC!,41
12299,Beautiful Sunny Park Slope Brooklyn,42
12303,1bdr w private bath. in lofty apt,43
12318,West Side Retreat,44
12343,BEST BET IN HARLEM,45
12627,Entire apartment in central Brooklyn neighborhood.,46
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",47
12940,Charming Brownstone 3 - Near PRATT,48
13050,bright and stylish duplex,49
13394,Fort Greene brownstone ,50
13808,Blue Room for 2 in Brownstone for $1350 monthly,51
14287,Cozy 1BD on Central Park West in New York City,52
14290,* ORIGINAL BROOKLYN LOFT *,53
14314,Greenpoint Place...Has It All! ,54
14322,Beautiful Apartment in Manhattan!!!,55
14377,Williamsburg 1 bedroom Apartment,56
14991,"Great Location, Manhattan Bedroom!",57
15220,Best Location in NYC! TIMES SQUARE!,58
15338,Room in Greenpoint Loft w/ Roof,59
