neighbourhood_group,neighbourhood,latitude,longitude,location_key
Bronx,Allerton,40.865291666666664,-73.85872714285715,1
Bronx,Baychester,40.87361571428572,-73.84296714285713,2
Bronx,Belmont,40.855061666666664,-73.88710875,3
Bronx,Bronxdale,40.85473105263158,-73.86628736842106,4
Bronx,Castle Hill,40.81688888888888,-73.84700000000001,5
Bronx,City Island,40.848074705882354,-73.78717705882353,6
Bronx,Claremont Village,40.83918535714286,-73.90927857142857,7
Bronx,Clason Point,40.811750476190475,-73.85678952380952,8
Bronx,Co-op City,40.86481499999999,-73.82324,9
Bronx,Concourse,40.8269188,-73.92446939999999,10
Bronx,Concourse Village,40.83005375,-73.9178053125,11
Bronx,East Morrisania,40.83107,-73.88907777777779,12
Bronx,Eastchester,40.88085230769231,-73.83472230769232,13
Bronx,Edenwald,40.88803461538461,-73.83608692307692,14
Bronx,Fieldston,40.8919425,-73.90194166666667,15
Bronx,Fordham,40.86322158730159,-73.8943592063492,16
Bronx,Highbridge,40.83548962962963,-73.92785185185186,17
Bronx,Hunts Point,40.81552222222222,-73.88808833333333,18
Bronx,Kingsbridge,40.87679828571429,-73.90178942857142,19
Bronx,Longwood,40.82119426229508,-73.90243016393443,20
Bronx,Melrose,40.821535,-73.91584900000001,21
Bronx,Morris Heights,40.84913117647059,-73.91630176470589,22
Bronx,Morris Park,40.85227933333333,-73.85538066666666,23
Bronx,Morrisania,40.82828111111111,-73.9058561111111,24
Bronx,Mott Haven,40.8109975,-73.9198715,25
Bronx,Mount Eden,40.842063333333336,-73.91650166666666,26
Bronx,Mount Hope,40.8484305,-73.9055175,27
Bronx,North Riverdale,40.907599,-73.898328,28
Bronx,Norwood,40.87503580645161,-73.87942096774194,29
Bronx,Olinville,40.883655,-73.86451,30
Bronx,Parkchester,40.83565,-73.8638717948718,31
Bronx,Pelham Bay,40.84935,-73.83207647058823,32
Bronx,Pelham Gardens,40.86368392857143,-73.84316,33
Bronx,Port Morris,40.80673391304348,-73.9266202173913,34
Bronx,Riverdale,40.88766777777778,-73.91149888888889,35
Bronx,Schuylerville,40.83585769230769,-73.83347,36
Bronx,Soundview,40.826920666666666,-73.86991266666668,37
Bronx,Spuyten Duyvil,40.88109,-73.916775,38
Bronx,Throgs Neck,40.824156249999994,-73.82177791666668,39
Bronx,Tremont,40.84367909090909,-73.89131363636363,40
Bronx,Unionport,40.828294285714286,-73.85246285714285,41
Bronx,University Heights,40.85805809523809,-73.9101619047619,42
Bronx,Van Nest,40.84326,-73.86715545454545,43
Bronx,Wakefield,40.893178400000004,-73.8535778,44
Bronx,West Farms,40.84135,-73.878455,45
Bronx,Westchester Square,40.83923555555556,-73.84723555555556,46
Bronx,Williamsbridge,40.87893525,-73.85814675,47
Bronx,Woodlawn,40.897420909090904,-73.86793909090909,48
Brooklyn,Bath Beach,40.60413411764706,-74.00637411764706,49
Brooklyn,Bay Ridge,40.631360942028984,-74.0262615942029,50
Brooklyn,Bedford-Stuyvesant,40.68721148630323,-73.93980186872797,51
Brooklyn,Bensonhurst,40.612183466666664,-73.9940088,52
Brooklyn,Bergen Beach,40.623371000000006,-73.90920600000001,53
Brooklyn,Boerum Hill,40.686402586206896,-73.98548620689655,54
Brooklyn,Borough Park,40.63727345588235,-73.99703058823529,55
Brooklyn,Brighton Beach,40.578342432432436,-73.96126216216216,56
Brooklyn,Brooklyn Heights,40.694695033557046,-73.99433966442953,57
Brooklyn,Brownsville,40.66467426229508,-73.91421426229508,58
Brooklyn,Bushwick,40.6967509194467,-73.92037877542717,59
Brooklyn,Canarsie,40.638594285714284,-73.9012931292517,60
Brooklyn,Carroll Gardens,40.680631471861474,-73.99616225108225,61
Brooklyn,Clinton Hill,40.68811370766488,-73.96438934046346,62
Brooklyn,Cobble Hill,40.687304042553194,-73.99550957446809,63
Brooklyn,Columbia St,40.68506195121951,-74.00242682926829,64
Brooklyn,Coney Island,40.57593882352941,-73.98858176470588,65
Brooklyn,Crown Heights,40.67270438303342,-73.94631311696658,66
Brooklyn,Cypress Hills,40.682209848484845,-73.88398606060605,67
Brooklyn,DUMBO,40.70326583333333,-73.98789888888888,68
Brooklyn,Downtown Brooklyn,40.694321927710845,-73.98493807228915,69
Brooklyn,Dyker Heights,40.6240875,-74.0104725,70
Brooklyn,East Flatbush,40.64898386773547,-73.9393059519038,71
Brooklyn,East New York,40.668212018348626,-73.88419665137614,72
Brooklyn,Flatbush,40.6449761102107,-73.96048568881686,73
Brooklyn,Flatlands,40.62552195121951,-73.93260195121951,74
Brooklyn,Fort Greene,40.69018620618557,-73.9741232371134,75
Brooklyn,Fort Hamilton,40.61895781818182,-74.03223527272726,76
Brooklyn,Gowanus,40.67627053061224,-73.98862457142857,77
Brooklyn,Gravesend,40.595597794117644,-73.97689617647059,78
Brooklyn,Greenpoint,40.72797376237624,-73.95055560756076,79
Brooklyn,Kensington,40.64174885714286,-73.97570154285714,80
Brooklyn,Manhattan Beach,40.579364999999996,-73.946535,81
Brooklyn,Midwood,40.62020688073394,-73.95967211009174,82
Brooklyn,Mill Basin,40.612382499999995,-73.91585,83
Brooklyn,Navy Yard,40.69982142857143,-73.97393571428572,84
Brooklyn,Park Slope,40.67420614919355,-73.97898447580646,85
Brooklyn,Prospect Heights,40.67749845272206,-73.96802727793697,86
Brooklyn,Prospect-Lefferts Gardens,40.659270698113204,-73.95528509433962,87
Brooklyn,Red Hook,40.677191794871796,-74.00985192307692,88
Brooklyn,Sea Gate,40.576837999999995,-74.008808,89
Brooklyn,Sheepshead Bay,40.596278518518524,-73.95220524691358,90
Brooklyn,South Slope,40.66492566901409,-73.98542095070422,91
Brooklyn,Sunset Park,40.652535932642486,-74.00336901554404,92
Brooklyn,Vinegar Hill,40.70154676470588,-73.98331147058823,93
Brooklyn,Williamsburg,40.7125551911727,-73.95184658198615,94
Brooklyn,Windsor Terrace,40.65461184713376,-73.97798974522293,95
Manhattan,Battery Park City,40.70980656716418,-74.01660835820896,96
Manhattan,Chelsea,40.744638093023255,-73.99813693953489,97
Manhattan,Chinatown,40.71561197802198,-73.99387236263736,98
Manhattan,Civic Center,40.71380843137255,-74.00363745098039,99
Manhattan,East Harlem,40.79614306654676,-73.94226980215826,100
Manhattan,East Village,40.72674647509579,-73.98383611384783,101
Manhattan,Financial District,40.70690537517053,-74.00920529331515,102
Manhattan,Flatiron District,40.74113324324324,-73.98831972972972,103
Manhattan,Gramercy,40.735534953846155,-73.98425283076924,104
Manhattan,Greenwich Village,40.730592321899735,-73.99863812664908,105
Manhattan,Harlem,40.81605023493748,-73.94801157256536,106
Manhattan,Hell's Kitchen,40.762193473738954,-73.99144267810713,107
Manhattan,Inwood,40.86531611111111,-73.92471996031746,108
Manhattan,Kips Bay,40.74180102620087,-73.97938301310043,109
Manhattan,Little Italy,40.71878881355932,-73.99721711864406,110
Manhattan,Lower East Side,40.718373775055674,-73.98780502227171,111
Manhattan,Marble Hill,40.87574083333333,-73.91103833333334,112
Manhattan,Midtown,40.75487878425861,-73.97612322557977,113
Manhattan,Morningside Heights,40.80835176811594,-73.96174788405797,114
Manhattan,Murray Hill,40.747419242105266,-73.97596762105263,115
Manhattan,NoHo,40.72700921052632,-73.99302815789474,116
Manhattan,Nolita,40.722145943775104,-73.99507694779116,117
Manhattan,Roosevelt Island,40.763379868421055,-73.94846934210527,118
Manhattan,SoHo,40.724450906344416,-74.00203697885196,119
